ds,yhat
2018-08-02 10:00:00,57.42441380541017
2018-08-02 11:00:00,56.490103692317604
2018-08-02 12:00:00,55.65536289257539
2018-08-02 13:00:00,55.77014690335714
2018-08-02 14:00:00,56.13388670944465
2018-08-02 15:00:00,56.78425505044291
2018-08-02 16:00:00,57.572907990656915
2018-08-02 17:00:00,57.74046937284431
2018-08-02 18:00:00,57.06479516390827
2018-08-02 19:00:00,55.879082108266374
2018-08-02 20:00:00,54.78728747097311
2018-08-02 21:00:00,53.82386055961585
2018-08-02 22:00:00,53.13181352825994
2018-08-02 23:00:00,52.54245005132232
2018-08-03 00:00:00,51.777674890593296
2018-08-03 01:00:00,51.45597686955177
2018-08-03 02:00:00,51.450352462412454
2018-08-03 03:00:00,52.31500409516408
2018-08-03 04:00:00,54.177634288634614
2018-08-03 05:00:00,56.253867930306704
2018-08-03 06:00:00,57.8535951293938
2018-08-03 07:00:00,58.703645668422006
2018-08-03 08:00:00,58.76442931108196
2018-08-03 09:00:00,58.164598010342104
2018-08-03 10:00:00,57.15421609415137
2018-08-03 11:00:00,56.5334727580178
2018-08-03 12:00:00,56.42879351220999
2018-08-03 13:00:00,56.43685540081835
2018-08-03 14:00:00,56.745615855345505
2018-08-03 15:00:00,57.64772401600131
2018-08-03 16:00:00,58.29518094156863
2018-08-03 17:00:00,58.39679130400535
2018-08-03 18:00:00,57.65368377170857
2018-08-03 19:00:00,56.33281722386741
2018-08-03 20:00:00,54.96694083526707
2018-08-03 21:00:00,53.749186301448646
2018-08-03 22:00:00,52.93586212024343
2018-08-03 23:00:00,52.289424016982444
2018-08-04 00:00:00,51.55774559889118
2018-08-04 01:00:00,50.865979000083975
2018-08-04 02:00:00,50.94125491345617
2018-08-04 03:00:00,51.79598096494111
2018-08-04 04:00:00,53.46596807764757
2018-08-04 05:00:00,55.292906049840035
2018-08-04 06:00:00,56.892514490769706
2018-08-04 07:00:00,57.54705820064289
2018-08-04 08:00:00,57.338627527023554
2018-08-04 09:00:00,56.95817089663507
2018-08-04 10:00:00,55.76790198616802
2018-08-04 11:00:00,54.82972427161255
2018-08-04 12:00:00,54.35395774966087
2018-08-04 13:00:00,54.33324598430168
2018-08-04 14:00:00,54.816825017855514
2018-08-04 15:00:00,55.713378706401635
2018-08-04 16:00:00,56.45418444139171
2018-08-04 17:00:00,56.533363492183824
2018-08-04 18:00:00,55.70385203369372
2018-08-04 19:00:00,54.26862499569469
2018-08-04 20:00:00,52.8209047278474
2018-08-04 21:00:00,51.75782140760823
2018-08-04 22:00:00,50.88949989424151
2018-08-04 23:00:00,50.06939218703624
2018-08-05 00:00:00,49.424943068065524
2018-08-05 01:00:00,48.86002852005296
2018-08-05 02:00:00,48.77735151800844
2018-08-05 03:00:00,49.67668173840644
2018-08-05 04:00:00,51.52305104935794
2018-08-05 05:00:00,53.681544446529955
2018-08-05 06:00:00,55.17632376912282
2018-08-05 07:00:00,55.873426082400655
2018-08-05 08:00:00,56.05936747856229
2018-08-05 09:00:00,55.52930294548473
2018-08-05 10:00:00,54.797293685454214
2018-08-05 11:00:00,54.1621971076836
2018-08-05 12:00:00,53.890437197557134
2018-08-05 13:00:00,54.073091831649684
